start	end	CRUD_Test
$r44[0] = r9	$r45 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.deleteFail", $r44)	1
$r45 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.deleteFail", $r44)	$r48 := @caughtexception	1
$r45 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.deleteFail", $r44)	$r51 := @caughtexception	1
$r45 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.deleteFail", $r44)	virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r45)	1
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r45)	$r48 := @caughtexception	0
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r45)	$r51 := @caughtexception	0
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r45)	virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void removeServiced(java.lang.String)>(r4)	0
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void removeServiced(java.lang.String)>(r4)	return	0
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void removeServiced(java.lang.String)>(r4)	$r51 := @caughtexception	0
$z7 = virtualinvoke r10.<java.io.File: boolean exists()>()	$r48 := @caughtexception	1
$z7 = virtualinvoke r10.<java.io.File: boolean exists()>()	$r51 := @caughtexception	1
$z7 = virtualinvoke r10.<java.io.File: boolean exists()>()	if $z7 == 0 goto virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void check(java.lang.String)>(r4)	1
if $z7 == 0 goto virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void check(java.lang.String)>(r4)	$z8 = virtualinvoke r10.<java.io.File: boolean delete()>()	0
if $z7 == 0 goto virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void check(java.lang.String)>(r4)	virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void check(java.lang.String)>(r4)	0
if $z7 == 0 goto virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void check(java.lang.String)>(r4)	$r48 := @caughtexception	0
if $z7 == 0 goto virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void check(java.lang.String)>(r4)	$r51 := @caughtexception	0
